Latitude,Longitude,Country,City,Population
FLOAT,FLOAT,TEXT,TEXT,INT
48,-66.666667,ca,campbellton,12064
-20.1,-43.05,br,alvinopolis,12068
43.106607,6.017185,fr,le pradet,12070
-21.869722,-43.318611,br,matias barbosa,12072
2.116958,-76.982137,co,el bordo,12072
18.8775,-71.7027778,do,comendador,12072
9.918872,-84.139895,cr,escazu,12073
-8.883333,-36.2,br,canhotinho,12074
50.55,6.55,de,kall,12074
-4.166667,-40.583333,br,reriutaba,12076
-3.633333,-39.5,br,uruburetama,12076
-3.333333,-43.583333,br,sao benedito do rio preto,12081
40.008511,-3.00731,es,tarancon,12081
49.485,11.2475,de,rothenbach,12084
34.653889,61.197778,af,kuhestan,12087
47.9,8.166667,de,titisee-neustadt,12092
43.488925,5.229288,fr,rognac,12096
-3.466667,-41.566667,br,cocal,12097
50.866667,13.333333,de,brand-erbisdorf,12098
49.205556,12.041389,de,burglengenfeld,12098
51.383333,9.566667,de,fuldatal,12102
48.765883,7.858307,fr,bischwiller,12109
47.016917,8.309556,ch,horw,12110
52.033333,9.266667,de,aerzen,12114
49.993889,8.367222,de,bischofsheim,12114
44.87981,-0.612194,fr,bruges,12117
36.706932,71.570658,af,eskasem,12120
36.864768,70.834207,af,jurm,12121
45.673577,4.754842,fr,brignais,12121
43.433333,-5.883333,es,llanera,12124
43.2427778,25.3219444,bg,pavlikeni,12129
40.584557,-4.127668,es,el escorial,12131
50.359606,3.281081,fr,somain,12132
-32.495972,137.772812,au,port augusta,12133
-29.616667,-54.166667,br,sao pedro do sul,12137
-21.5666667,21.7833333,bw,ghanzi,12141
-14.5,-42.216667,br,cacule,12143
49.266389,8.616667,de,sankt leon-rot,12143
51.166667,4.5,be,boechout,12145
49.25,6.7,de,uberherrn,12145
-10.75,-37.083333,br,maruim,12153
-10.7,-38.183333,br,poco verde,12167
46.390153,5.863737,fr,saint-claude,12169
-28.033333,-54.35,br,girua,12170
6.040011,-75.703151,co,amaga,12170
45.594156,5.87575,fr,la motte-servolex,12172
49.953254,16.154723,cz,vysoke myto,12173
41.7363889,45.3302778,ge,sagarejo,12174
55.967671,12.021482,dk,frederiksvaerk,12176
38.046667,-1.672271,es,bullas,12184
47.438134,9.139218,ch,uzwil,12185
48.683333,2.383333,fr,juvisy-sur-orge,12185
51.683333,13.233333,de,herzberg,12188
39.9105556,44.7277778,am,vedi,12192
37.292487,-4.878709,es,estepa,12194
10.016667,-84.1,cr,san josecito,12195
44.377556,4.701976,fr,pierrelatte,12201
-5.683333,-43.1,br,parnarama,12202
-2.7333333,-79.75,ec,balao,12205
49.166667,10.333333,de,feuchtwangen,12207
53.316667,11.5,de,ludwigslust,12209
-2.75,-42.266667,br,tutoia,12212
44.518486,3.50372,fr,mende,12214
-3.683333,-39.333333,br,umirim,12220
47.463879,6.83168,fr,valentigney,12221
49.179444,9.438333,de,bretzfeld,12223
47.683333,11.2,de,murnau,12223
-21.316667,-49.066667,br,itajobi,12231
10.3666667,-13.35,gn,tondon,12235
43.05,-2.183333,es,beasain,12237
-7.233333,-44.55,br,urucui,12243
48.950888,17.382144,cz,veseli nad moravou,12245
43.762838,1.988349,fr,graulhet,12246
51.316667,5.083333,be,arendonk,12247
-21.2,-48.916667,br,pindorama,12248
51.983333,7.416667,de,havixbeck,12249
57.683333,-2.016667,gb,fraserburgh,12249
42.939316,-6.319434,es,villablino,12250
50.5,8.666667,de,langgons,12251
50.916667,4.433333,be,machelen,12252
53.433333,11.183333,de,hagenow,12253
-18.95,-57.8,bo,puerto suarez,12254
51.533333,6.433333,de,issum,12257
48.083333,8.716667,de,spaichingen,12258
-17.2333333,-67.9166667,bo,patacamaya,12261
53.9,13.033333,de,demmin,12263
-20.233333,-41.516667,br,ibatiba,12265
-3.2,-43.383333,br,urbano santos,12268
46.831111,12.759722,at,lienz,12270
-8.533333,-37.7,br,ibimirim,12272
39.566667,-1.2,es,utiel,12277
45.868733,5.936522,fr,rumilly,12278
46.931714,7.494164,ch,muri,12280
45.616667,-74.6,ca,hawkesbury,12283
10.26053,-85.585097,cr,santa cruz,12283
51.333333,7.866667,de,balve,12288
51.1,-115.35,ca,canmore,12289
45.958853,5.343197,fr,amberieu-en-bugey,12289
9.216667,41.1,et,hirna,12295
48.916667,8.783333,de,niefern-oschelbronn,12299
49.479248,1.023748,fr,maromme,12302
18.25,-71.2166667,do,cabral,12303
51.216667,4.65,be,zandhoven,12306
1.905743,-75.154059,co,puerto rico,12306
46.564383,3.354949,fr,yzeure,12306
46.684733,7.691108,ch,spiez,12310
61.433333,21.883333,fi,ulvila,12314
-2.683333,-49.683333,br,baiao,12316
-11.366667,-38.35,br,olindina,12317
3.656852,-76.68859,co,dagua,12320
50.757126,14.556747,cz,novy bor,12325
52.266667,10.2,de,ilsede,12326
-22.016667,-54.9,br,itapora,12327
47.289945,7.947274,ch,zofingen,12327
48.916667,9.116667,de,tamm,12327
-33.191761,138.017456,au,port pirie,12328
-22,-42.9,br,sapucaia,12329
4.797222,-75.995,co,ansermanuevo,12332
-4.75,-44.933333,br,pocao de pedras,12337
36.859787,-5.64485,es,villamartin,12342
-7.016667,-46.483333,br,bom jardim,12343
-3.75,-59.05,br,nova olinda do norte,12344
-23.9,-52.333333,br,peabiru,12345
51.166667,5.583333,be,bocholt,12346
-28.219009,152.034378,au,warwick,12347
41.8902778,23.4791667,bg,razlog,12347
49.703603,14.899412,cz,vlasim,12350
-21.5,-47.55,br,sao simao,12351
48.978181,2.007429,fr,triel-sur-seine,12351
51.316667,4.983333,be,oud-turnhout,12354
9.4305556,-13.0880556,gn,forecariah,12357
51,4.616667,be,keerbergen,12363
-6.5,-44.016667,br,paraibano,12364
50.733333,4.7,be,grez-doiceau,12367
-20.45,-48.033333,br,ipua,12370
-15.65,-40.05,br,itarantim,12370
-33.652489,115.345497,au,busselton,12374
49.615144,3.218571,fr,chauny,12374
-9.416667,-35.833333,br,messias,12376
55.6338889,27.0538889,by,braslav,12378
61.8,22.416667,fi,kankaanpaa,12381
-3.55,-40.65,br,coreau,12383
54.416667,-110.215278,ca,grand centre,12386
50.283333,8.95,de,altenstadt,12388
-22.5,-47.766667,br,charqueada,12391
-9.633333,-37.383333,br,sao jose da tapera,12392
53.1,9.15,de,ottersberg,12392
50.066667,9.166667,de,mombris,12393
53.566667,10.166667,de,barsbuttel,12395
52.216667,9.966667,de,harsum,12401
52.733333,10.716667,de,wittingen,12401
-21.883333,-45.083333,br,conceicao do rio verde,12402
49.235833,8.456389,de,philippsburg,12403
48.812532,2.048632,fr,fontenay-le-fleury,12403
53.7,9.383333,de,drochtersen,12404
38.739751,-0.439759,es,cocentaina,12404
44.1272222,18.1180556,ba,kakanj,12405
